Année;Périmètre juridique;Legal Perimeter;Périmètre spatial;Spatial Perimeter;Filiere;Sector;Energie produite;Unité;Méthode de consolidation
2023;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;6721.0;GWh;nette
2023;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;320404.0;GWh;nette
2023;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;38759.558;GWh;nette
2022;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;278960.0;GWh;nette
2022;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;11244.0;GWh;nette
2022;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;32447.454999999998;GWh;nette
2021;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;360704.0;GWh;nette
2021;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;41803.632;GWh;nette
2021;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;10530.0;GWh;nette
2020;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;8852.107695833312;GWh;nette
2020;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;335415.02787399996;GWh;nette
2020;EDF SA;EDF SA;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;44663.354;GWh;nette
